player_id,WAR%,wRC+%,OPS%,wOBA%,공격WAA%,WAA%,IsoP%,IsoD%,BABIP%,공격WAR%,wRC%,WPA,spAVG%,P/PA,AVG%,OBP%,SLG%,종합RAA%,공격RAA%,수비RAA%,타격RAA%,주루RAA%,필딩RAA%,HR%,RBI%
10835,53,52,,56,53,62,,,,48,41,,,,,,,62,53,42,56,43,36,50,40
10840,83,93,,93,89,90,,,,82,67,,,,,,,90,89,80,89,87,69,74,65
10855,66,62,,67,67,44,,,,71,63,,,,,,,44,67,11,59,85,21,63,60
10870,10,27,,28,0,3,,,,2,58,,,,,,,3,0,23,2,67,28,50,68
10891,60,54,,49,49,53,,,,59,55,,,,,,,53,49,17,45,80,25,50,44
10892,97,87,81,89,95,96,74,46,54,95,97,96,49,40,68,68,82,96,95,90,94,73,89,94,95
10894,71,66,,60,57,59,,,,72,72,,,,,,,59,57,22,67,19,32,63,75
10913,18,37,,41,23,21,,,,22,45,,,,,,,21,23,9,30,9,16,50,44
11087,90,63,44,63,64,86,70,4,89,83,85,32,40,30,33,11,65,86,64,88,54,84,84,93,94
11097,33,31,,30,31,40,,,,19,28,,,,,,,40,31,56,39,13,53,50,19
11098,7,15,,22,21,16,,,,10,20,,,,,,,16,21,14,24,41,20,63,35
11099,81,84,70,85,94,65,44,46,96,94,94,84,65,56,86,82,56,65,94,4,93,92,4,91,92
11119,24,79,,78,65,42,,,,40,17,,,,,,,42,65,16,65,58,24,50,19
11137,96,80,54,81,90,96,26,79,81,90,87,28,28,63,67,86,39,96,90,98,90,94,97,74,69
11148,28,24,,19,25,33,,,,13,30,,,,,,,33,25,70,27,33,67,50,35
11153,67,41,9,42,6,18,58,86,0,62,75,47,26,68,2,5,14,18,6,87,6,94,81,92,88
11162,32,48,,56,19,12,,,,61,65,,,,,,,12,19,15,21,21,33,86,76
11165,4,16,,17,2,6,,,,1,24,,,,,,,6,2,21,4,59,24,50,44
11172,90,71,26,71,83,88,5,96,46,86,87,72,93,100,37,84,9,88,83,99,83,41,98,63,85
11190,77,41,12,46,8,38,5,23,58,70,78,9,14,93,39,21,12,38,8,91,4,98,84,63,81
11198,8,77,,63,75,18,,,,55,41,,,,,,,18,75,5,70,89,4,50,19
11212,72,67,,66,66,67,,,,73,71,,,,,,,67,66,38,72,17,42,63,71
11213,70,69,39,60,82,15,84,49,4,87,85,37,35,70,11,7,54,15,82,42,82,72,58,98,97
11214,42,14,,17,40,60,,,,21,15,,,,,,,60,40,78,45,30,73,50,19
11215,19,39,,37,3,4,,,,34,67,,,,,,,4,3,79,6,10,72,84,85
11225,1,17,,15,9,4,,,,6,25,,,,,,,4,9,11,10,77,11,63,48
11226,25,30,,34,33,28,,,,31,38,,,,,,,28,33,24,27,93,31,50,40
11233,60,73,,75,81,34,,,,74,65,,,,,,,34,81,7,78,85,13,50,54
11244,18,15,,19,19,25,,,,8,16,,,,,,,25,19,64,19,70,57,50,29
11255,10,8,,8,11,21,,,,5,1,,,,,,,21,11,81,14,44,66,50,29
11261,88,55,16,53,18,83,9,7,47,73,81,30,58,11,63,23,19,83,18,94,21,13,93,69,76
11298,61,23,,25,24,73,,,,14,31,,,,,,,73,24,92,22,79,91,63,40
11306,35,42,,48,61,51,,,,41,21,,,,,,,51,61,35,62,62,39,50,40
11328,38,13,,12,48,55,,,,27,13,,,,,,,55,48,65,50,47,64,50,19
11333,90,82,63,81,91,91,63,67,56,90,84,25,30,60,46,56,60,91,91,93,91,86,93,93,86
11336,55,33,,39,52,69,,,,39,28,,,,,,,69,52,79,50,75,79,50,29
11339,52,59,,59,31,15,,,,69,69,,,,,,,15,31,11,41,12,14,50,75
11342,28,6,,7,51,45,,,,25,12,,,,,,,45,51,37,61,22,42,50,19
11344,22,36,,30,43,30,,,,33,35,,,,,,,30,43,28,48,32,29,50,29
11347,50,34,,37,56,67,,,,40,22,,,,,,,67,56,72,55,72,69,50,29
11376,96,85,77,85,93,97,61,40,44,93,90,75,68,25,79,74,70,97,93,88,94,70,85,91,94
11397,70,65,,73,70,81,,,,64,54,,,,,,,81,70,89,65,82,87,63,58
11414,83,50,,44,21,85,,,,64,66,,,,,,,85,21,91,25,20,95,50,71
11422,45,42,,44,46,48,,,,42,40,,,,,,,48,46,57,46,60,55,50,35
12503,21,20,,21,32,33,,,,16,19,,,,,,,33,32,52,31,50,50,50,29
12516,76,90,,88,87,85,,,,78,64,,,,,,,85,87,63,86,90,60,80,68
12522,75,58,,55,38,82,,,,66,61,,,,,,,82,38,83,49,19,83,80,63
12523,30,21,,25,38,43,,,,23,19,,,,,,,43,38,57,38,50,54,50,29
12524,78,46,,44,65,76,,,,75,69,,,,,,,76,65,86,16,100,82,50,60
12534,81,67,40,69,77,72,35,28,60,83,82,51,70,54,49,35,44,72,77,73,79,25,70,80,85
12539,41,29,,33,21,29,,,,23,43,,,,,,,29,21,74,18,90,70,50,56
12540,30,99,,99,74,46,,,,51,32,,,,,,,46,74,22,75,40,19,50,35
12545,46,79,,78,66,65,,,,41,17,,,,,,,65,66,61,66,48,63,50,19
12546,98,91,65,92,97,97,16,100,91,97,98,88,91,95,82,100,32,97,97,86,97,15,82,74,88
12548,37,38,,21,50,47,,,,35,27,,,,,,,47,50,33,54,42,50,50,35
12549,68,58,,52,30,71,,,,59,60,,,,,,,71,30,73,49,6,78,69,57
12560,64,52,,52,34,62,,,,54,56,,,,,,,62,34,84,40,21,80,50,52
12562,91,69,,76,81,94,,,,79,79,,,,,,,94,81,99,77,93,99,93,82
12583,17,32,,32,20,16,,,,30,50,,,,,,,16,20,19,17,91,22,69,61
12585,69,75,,80,81,37,,,,80,81,,,,,,,37,81,16,84,4,20,86,81
12587,68,78,,82,77,78,,,,66,53,,,,,,,78,77,49,75,76,47,50,44
12589,17,6,,7,41,32,,,,18,4,,,,,,,32,41,31,42,58,31,50,19
12606,54,88,,90,71,69,,,,49,36,,,,,,,69,71,51,73,27,47,50,29
12613,8,16,,16,4,10,,,,2,16,,,,,,,10,4,32,5,74,34,50,35
12622,12,4,,7,22,25,,,,7,2,,,,,,,25,22,52,24,58,43,50,19
12864,35,3,,7,57,53,,,,32,11,,,,,,,53,57,45,60,58,44,50,19
12869,23,15,,18,26,36,,,,9,14,,,,,,,36,26,76,35,7,80,50,19
12894,75,82,,78,78,85,,,,69,59,,,,,,,85,78,89,83,8,95,63,54
12903,42,74,,74,62,60,,,,43,27,,,,,,,60,62,55,66,40,54,50,19
12905,99,86,77,86,96,99,60,28,53,96,92,61,89,39,84,72,74,99,96,98,94,96,99,92,90
12916,43,61,,58,58,32,,,,57,53,,,,,,,32,58,50,61,60,50,50,61
12922,89,58,25,65,22,83,23,61,42,77,86,40,26,96,44,53,25,83,22,85,29,10,83,80,85
12931,20,12,,13,40,36,,,,21,12,,,,,,,36,40,41,40,58,44,50,19
12936,17,30,,31,10,17,,,,10,46,,,,,,,17,10,37,13,43,41,50,52
12941,20,21,,23,59,39,,,,35,15,,,,,,,39,59,20,62,48,24,50,19
12943,2,29,,29,2,1,,,,6,56,,,,,,,1,2,15,3,73,19,50,58
12970,57,98,,98,78,75,,,,56,36,,,,,,,75,78,54,78,58,50,63,35
12988,16,39,,33,33,20,,,,46,48,,,,,,,20,33,12,28,83,12,50,40
12995,99,96,96,96,100,99,95,91,68,100,100,100,47,67,70,95,93,99,100,82,100,23,85,100,99
13006,22,25,,24,18,24,,,,11,38,,,,,,,24,18,60,20,24,63,50,40
13056,71,49,4,50,44,30,0,89,18,76,75,42,67,4,14,51,2,30,44,14,15,98,12,50,73
13073,44,46,,43,13,20,,,,42,61,,,,,,,20,13,26,23,3,29,69,62
13081,79,54,35,65,13,71,77,93,12,68,77,14,2,88,7,19,46,71,13,74,25,2,73,93,82
13082,56,49,,47,50,66,,,,48,44,,,,,,,66,50,70,51,62,74,74,48
13093,4,22,,27,33,11,,,,20,24,,,,,,,11,33,9,31,65,6,50,19
13109,38,13,,14,55,56,,,,35,14,,,,,,,56,55,51,53,77,50,50,19
13112,96,83,60,87,92,95,16,82,84,93,94,86,96,58,88,96,37,95,92,84,92,34,88,50,91
13113,69,56,,57,20,58,,,,58,64,,,,,,,58,20,45,33,1,40,74,69
13128,59,85,,86,76,70,,,,60,46,,,,,,,70,76,29,76,46,28,50,48
13137,47,33,,36,15,29,,,,18,48,,,,,,,29,15,72,19,27,65,63,52
13138,48,65,,45,39,57,,,,29,40,,,,,,,57,39,71,65,3,76,50,40
13145,5,23,,29,16,9,,,,7,34,,,,,,,9,16,13,23,8,13,50,40
13151,6,11,,11,15,15,,,,6,3,,,,,,,15,15,26,15,61,26,50,19
13154,6,19,,18,5,10,,,,3,29,,,,,,,10,5,37,7,29,37,50,35
13155,46,27,,34,42,56,,,,27,26,,,,,,,56,42,69,42,63,71,50,19
13164,19,27,,27,45,29,,,,29,23,,,,,,,29,45,30,44,45,30,63,35
13168,94,92,89,92,98,92,91,19,72,99,99,82,39,53,81,54,91,92,98,5,98,68,5,100,100
13177,58,98,,98,76,75,,,,54,40,,,,,,,75,76,53,77,37,55,50,29
13223,56,37,,36,14,33,,,,25,54,,,,,,,33,14,80,18,17,91,69,60
13250,12,29,,23,35,22,,,,25,30,,,,,,,22,35,23,34,65,23,50,35
13261,7,57,,69,67,12,,,,58,50,,,,,,,12,67,13,57,87,2,63,56
14114,27,53,,49,29,17,,,,56,60,,,,,,,17,29,10,36,14,4,69,44
