김준태 (Jun-Tae Kim),10835,올시즌,2024,KT,29,C,0.07,0.10,23,30,30,25,6,6,2,0,0,8,3,0,0,5,0,0,6,0,0,0,0.240,0.367,0.320,0.687,-0.012,88.6,0.17
신본기 (Bon-Ki Shin),10840,올시즌,2024,KT,34,SS,1.12,0.17,44,96,91,72,13,23,3,0,3,35,15,2,0,14,3,0,16,3,5,2,0.319,0.440,0.486,0.926,0.070,148.2,1.29
서건창 (Geon-Chang Seo),10855,올시즌,2024,KIA,34,1B,0.57,-0.11,45,119,119,98,20,26,6,0,1,35,10,3,1,19,1,0,13,1,0,1,0.265,0.387,0.357,0.744,0.003,100.6,0.46
김재현 (Jae-Hyun Kim),10870,올시즌,2024,넥센,30,C,-0.75,0.25,53,172,168,155,18,36,7,0,0,43,16,0,0,4,6,0,33,5,4,3,0.232,0.274,0.277,0.551,-0.082,37.2,-0.50
박세혁 (Se-Hyuk Park),10891,올시즌,2024,NC,33,C,0.36,0.02,36,72,69,61,4,17,5,0,0,22,4,1,0,7,1,0,20,2,3,0,0.279,0.362,0.361,0.723,0.005,102.0,0.38
구자욱 (Ja-Wook Koo),10892,올시즌,2024,삼성,30,LF,2.25,0.01,60,267,266,236,36,71,16,1,10,119,41,4,2,21,8,1,40,3,0,2,0.301,0.375,0.504,0.879,0.041,128.8,2.26
류지혁 (Ji-Hyeok Ryu),10894,올시즌,2024,삼성,29,2B,0.59,0.02,44,163,162,141,20,41,4,0,1,48,22,4,3,16,3,0,33,2,1,2,0.291,0.370,0.340,0.710,0.000,97.8,0.61
하주석 (Joo-Seok Ha),10913,올시즌,2024,한화,29,SS,-0.08,-0.10,16,55,54,50,2,13,4,0,0,17,4,1,2,3,1,0,15,0,1,0,0.260,0.315,0.340,0.655,-0.040,68.4,-0.18
강승호 (Seung-Ho Kang),11087,올시즌,2024,두산,29,2B,1.35,0.57,66,272,270,254,36,72,14,5,10,126,42,9,3,13,1,1,86,2,1,3,0.283,0.317,0.496,0.813,0.008,104.0,1.92
장승현 (Seung-Hyeon Jang),11097,올시즌,2024,두산,29,C,-0.11,0.09,9,23,22,20,1,4,2,0,0,6,0,0,1,2,0,0,5,0,1,0,0.200,0.273,0.300,0.573,-0.063,52.0,-0.03
김인태 (In-Tae Kim),11098,올시즌,2024,두산,29,LF,-0.23,-0.23,10,26,26,23,3,4,0,0,1,7,2,0,0,2,0,0,7,1,0,1,0.174,0.231,0.304,0.535,-0.125,3.0,-0.46
이우성 (Woo-Sung Lee),11099,올시즌,2024,KIA,29,1B,2.02,-1.18,59,244,244,214,43,68,8,0,8,100,39,5,1,27,2,0,49,7,0,1,0.318,0.398,0.467,0.865,0.038,127.2,0.84
한승택 (Seung-Taek Han),11119,올시즌,2024,KIA,29,C,0.01,-0.14,4,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,0.030,120.9,-0.12
박민우 (Min-Woo Park),11137,올시즌,2024,NC,30,2B,1.13,0.83,46,214,208,181,26,52,8,2,1,67,14,18,4,23,6,3,34,2,3,1,0.287,0.384,0.370,0.754,0.009,105.0,1.96
강진성 (Jin-Sung Kang),11148,올시즌,2024,,30,DH,-0.17,0.09,16,31,30,27,4,5,0,0,0,5,2,0,0,3,0,0,5,0,1,0,0.185,0.267,0.185,0.452,-0.083,37.4,-0.08
김성욱 (Seong-wook Kim),11153,올시즌,2024,NC,30,CF,0.48,0.28,61,227,226,195,31,41,6,1,9,76,34,6,1,19,11,0,40,4,1,1,0.210,0.314,0.390,0.704,-0.023,80.8,0.77
나성범 (Sung-Beom Na),11162,올시즌,2024,KIA,34,DH,0.22,-0.10,32,139,138,119,14,27,3,0,6,48,20,0,0,20,0,1,33,4,0,0,0.227,0.338,0.403,0.741,-0.019,83.5,0.13
노진혁 (Jin-Hyuk Roh),11165,올시즌,2024,롯데,34,SS,-0.63,-0.04,27,68,68,59,4,9,2,0,0,11,4,0,0,6,1,0,17,1,0,2,0.153,0.235,0.186,0.421,-0.116,9.8,-0.68
권희동 (Hui-Dong Kwon),11172,올시즌,2024,NC,33,LF,1.47,0.64,60,251,251,203,28,58,10,1,1,73,30,2,0,40,5,0,33,5,0,3,0.286,0.410,0.360,0.770,0.019,112.7,2.11
박해민 (Hae-Min Park),11190,올시즌,2024,LG,33,CF,0.63,0.36,65,261,258,227,35,64,6,4,1,81,28,25,5,20,4,0,44,2,3,7,0.282,0.341,0.357,0.698,-0.030,75.4,0.98
박계범 (Gye-Beom Park),11198,올시즌,2024,두산,27,2B,0.20,-0.62,24,20,20,15,5,3,1,0,0,4,0,1,0,5,0,0,7,2,0,0,0.200,0.400,0.267,0.667,0.027,118.2,-0.43
